"","from","to","weight","group"
"1","Miss America
Madelin","Patriot
Jeff Mace",1894,6
"2","Human Torch
Johnny s","Thing
Benjamin J. Gr",744,5
"3","Human Torch
Johnny s","Mr. Fantastic
Reed r",713,5
"4","Mr. Fantastic
Reed r","Thing
Benjamin J. Gr",708,5
"5","Invisible Woman
Sue","Mr. Fantastic
Reed r",701,5
"6","Human Torch
Johnny s","Invisible Woman
Sue",694,5
"7","Invisible Woman
Sue","Thing
Benjamin J. Gr",668,5
"8","Spider-Man
Peter Par","Watson-Parker, Mary",616,4
"9","Jameson, J. Jonah","Spider-Man
Peter Par",526,4
"10","Captain America","Iron Man
Tony Stark",446,3
"11","Scarlet Witch
Wanda","Vision",422,2
"12","Ant-Man
Dr. Henry J.","Wasp
Janet Van Dyne",406,1
